AVO
Tracks,People,Type,,
Drums,Simon,Percussion,,
Tambourine,Simon,Percussion,,
Bass,Thomas,Electric Bass,,
Guitar,Richard ,Electric Guitar,,
Vocal,Richard,Vocals,,
Chorus Oh,Thomas,Vocals,,
Chorus Oh harmony,Thomas,Vocals,,
Chorus Oh harmony,Thomas,Vocals,,
Chorus Oh harmony,Thomas,Vocals,,
Chorus Oh harmony,Thomas,Vocals,,
Chorus Oh harmony,Thomas,Vocals,,
Chorus Oh harmony,Thomas,Vocals,,
Chorus two Oh,Thomas,Vocals,,
Chorus two Oh harmony,Thomas,Vocals,,
Chorus two Oh harmony,Thomas,Vocals,,
