Conversation
Tracks,People,Type,,,
Drums,Simon,Percussion,,,
Bass,Thomas,Electric Bass,,,
Guitar,Richard,Electric Guitar,,,
eBow,Thomas,Electric Guitar,,,
eBow,Thomas,Electric Guitar,,,
Vocal,Richard,Vocals,,,
Transistor Radio Piano,Richard,Synth,,,
Instrument 3 Synth,Richard,Synth,,,
Cello Section Staccato,Thomas,Kontakt,,,
Violin Section 2 Staccato,Thomas,Kontakt,,,
Violins 2,Thomas,Kontakt,,,
French Horn Section,Thomas,Kontakt,,,
Viola Section Staccato,Thomas,Kontakt,,,
Song by ,,Thomas ,Simon,Richard,
