Track,Played,Type,,
Another Girl Another Planet Synth,Richard,Synth,,
Throbbing keys,Richard,Synth,,
Throbbing keys Chorus,Richard,Synth,,
Electric Piano,Richard,Synth,,
Bass,Chris,Guitar,,
Soft Guitar,Richard,Guitar,,
FM Electro pipe,Richard,Synth,,
Zippo Gitar loop,Richard,Loop,,
Ebow,Thomas,Guitar,,
Stabbing strings,Thomas,Synth,,
Short sharp ensemble,Thomas,Synth,,
Verse Vocal,Richard,Vocal,,
Weird Verse Vocal,Richard,Vocal,,
Weird Verse Vocal,Thomas,Vocal,,
Verse,Thomas,Vocal,,
Backing,Thomas,Vocal,,
Weird Chorus,Richard,Vocal,,
Weird Chorus,Thomas,Vocal,,
Female Ensemble,Richard,Synth,,
Bah Bah Vox,Richard,Vocal,,
Bah Bah,Richard,Synth,,
Mixed Choir,Richard,Synth,,
Mixed Choir 2,Richard,Synth,,
Staccato Strings,Richard,Synth,,
Orchestral Kit,Richard,Percussion,,
Lucsious Strings,Richard,Strings,,
Roadhouse hats and crash ,Richard,Percussion,,
Drums,Richard,Percussion,,
Song By,Lonely Ones,,,
,,,,
Notes:,,,,
