Draining
Tracks,People,Type,,
Drums,Simon Morris,Percussion,,
Drum Samples,Richard,Samples/Loop,,
Twiddle Dumb Guitar,Richard,Electric Guitar,,
Thomas go to guitar,Thomas,Electric Guitar,,
Thomas go to guitar 2,Thomas,Electric Guitar,,
Bass,Chris,Electric Bass,,
Main Vox,Richard,Vocals,,
Main Vox Hi,Richard,Vocals,,
Ba ba,Thomas,Vocals,,
Ba Ba Double,Thomas,Vocals,,
Ba ba Harmony,Thomas,Vocals,,
Thomas Chorus,Thomas,Vocals,,
Thomas Chorus Harm,Thomas,Vocals,,
Thomas La La ,Thomas,Vocals,,
Thomas La La Harm,Thomas,Vocals,,
Electric,Richard,Electric Guitar,,
Electric double,Richard,Electric Guitar,,
Conga,Simon,Percussion,,
Shaker,Simon,Percussion,,
Synth-Basic Decay,Thomas,Synth,,
Synth-Pop Comp,Thomas,Synth,,
Funky Worm,Richard,Synth,,
City and Traffic Bank,Richard,Synth,,
SuperGrain5,Richard,Synth,,
Radio Sounds,Richard,Synth,,
Soft Shimmer,Richard,Synth,,
Organ,Richard,Synth,,
Song by,Richard ,Thomas,Chris,
Notes,,,,
