Ted Rucktr
Tracks,People,Type,,
Drums,Simon,Percussion,,
Bass,Chris,Electric Bass,,
Guitar,Richard,Electric Guitar,,
Guitar,Thomas ,Electric Guitar,,
Vocals,Richard,Vocals,,
Thomas Vox,Thomas ,Vocals,,
Chorus Vox,Richard,Vocals,,
Dist Chorus Vox,Richard,Vocals,,
Thomas Chorus Vox,Thomas,Vocals,,
Thomas window of life,Thomas,Vocals,,
Thomas ATV,Thomas,Vocals,,
Pop Strings Synth ,Richard,Synth,,
XP Brass,Richard,Synth,,
Funky Worm,Richard,Synth,,
Analog Moog Lead 1,Thomas,Synth,,
Analog Moog Lead 2,Thomas,Synth,,
Song by,Richard,Thomas,Chris,
Notes,,,,
